Type,Location,RpfConcentration,Rep,Dilution,Colonies,Morphotypes,Soil
Soil,Peru,0,1,0.000001,52,9,0.516
Soil,Peru,0,2,0.000001,56,11,0.516
Soil,Peru,0,3,0.000001,57,9,0.516
Soil,Peru,0,4,0.000001,57,5,0.516
Soil,Peru,0.5,1,0.000001,68,15,0.509
Soil,Peru,0.5,2,0.000001,107,19,0.509
Soil,Peru,0.5,3,0.000001,81,19,0.509
Soil,Peru,0.5,4,0.000001,81,21,0.509
Soil,Peru,1,1,0.000001,82,12,0.526
Soil,Peru,1,2,0.000001,232,9,0.526
Soil,Peru,1,3,0.000001,178,11,0.526
Soil,Peru,1,4,0.000001,222,8,0.526
Soil,Peru,2,1,0.000001,137,16,0.505
Soil,Peru,2,2,0.000001,183,15,0.505
Soil,Peru,2,3,0.000001,100,14,0.505
Soil,Peru,2,4,0.000001,102,14,0.505
Soil,Peru,4,1,0.000001,228,12,0.511
Soil,Peru,4,2,0.000001,379,14,0.511
Soil,Peru,4,3,0.000001,298,14,0.511
Soil,Peru,4,4,0.000001,259,14,0.511
Soil,Peru,5,1,0.000001,100,11,0.506
Soil,Peru,5,2,0.000001,63,14,0.506
Soil,Peru,5,3,0.000001,43,9,0.506
Soil,Peru,5,4,0.000001,43,8,0.506
Soil,Peru,8.7,1,.000001,74,12,0.501
Soil,Peru,8.7,2,.000001,32,5,0.501
Soil,Peru,8.7,3,.000001,57,10,0.501
Soil,Peru,8.7,4,.000001,59,13,0.501
Soil,Dunn,0,1,0.0000001,10,4,0.52
Soil,Dunn,0,2,0.0000001,19,6,0.52
Soil,Dunn,0,3,0.0000001,12,4,0.52
Soil,Dunn,0,4,0.0000001,14,4,0.52
Soil,Dunn,0.5,1,0.0000001,10,6,0.516
Soil,Dunn,0.5,2,0.0000001,21,9,0.516
Soil,Dunn,0.5,3,0.0000001,20,9,0.516
Soil,Dunn,0.5,4,0.0000001,12,10,0.516
Soil,Dunn,1,1,0.0000001,31,12,0.509
Soil,Dunn,1,2,0.0000001,23,8,0.509
Soil,Dunn,1,3,0.0000001,22,8,0.509
Soil,Dunn,1,4,0.0000001,21,11,0.509
Soil,Dunn,2,1,0.0000001,25,7,0.502
Soil,Dunn,2,2,0.0000001,42,14,0.502
Soil,Dunn,2,3,0.0000001,42,10,0.502
Soil,Dunn,2,4,0.0000001,29,8,0.502
Soil,Dunn,4,1,0.0000001,86,8,0.52
Soil,Dunn,4,2,0.0000001,66,11,0.52
Soil,Dunn,4,3,0.0000001,51,8,0.52
Soil,Dunn,4,4,0.0000001,82,10,0.52
Soil,Dunn,5,1,0.0000001,25,6,0.509
Soil,Dunn,5,2,0.0000001,20,7,0.509
Soil,Dunn,5,3,0.0000001,27,8,0.509
Soil,Dunn,5,4,0.0000001,29,10,0.509
Soil,Dunn,8.7,1,0.0000001,21,9,0.461
Soil,Dunn,8.7,2,0.0000001,15,6,0.461
Soil,Dunn,8.7,3,0.0000001,19,5,0.461
Soil,Dunn,8.7,4,0.0000001,14,6,0.461
Soil,Indiana,0,1,0.0000001,6,3,0.508
Soil,Indiana,0,2,0.0000001,9,4,0.508
Soil,Indiana,0,3,0.0000001,13,4,0.508
Soil,Indiana,0,4,0.0000001,4,2,0.508
Soil,Indiana,0.5,1,0.0000001,17,3,0.511
Soil,Indiana,0.5,2,0.0000001,33,5,0.511
Soil,Indiana,0.5,3,0.0000001,14,5,0.511
Soil,Indiana,0.5,4,0.0000001,32,5,0.511
Soil,Indiana,1,1,0.0000001,40,7,0.506
Soil,Indiana,1,2,0.0000001,33,9,0.506
Soil,Indiana,1,3,0.0000001,27,8,0.506
Soil,Indiana,1,4,0.0000001,29,7,0.506
Soil,Indiana,2,1,0.0000001,57,7,0.509
Soil,Indiana,2,2,0.0000001,58,10,0.509
Soil,Indiana,2,3,0.0000001,44,9,0.509
Soil,Indiana,2,4,0.0000001,44,11,0.509
Soil,Indiana,4,1,0.0000001,122,9,0.51
Soil,Indiana,4,2,0.0000001,110,10,0.51
Soil,Indiana,4,3,0.0000001,87,10,0.51
Soil,Indiana,4,4,0.0000001,98,12,0.51
Soil,Indiana,8.7,1,0.0000001,14,7,0.461
Soil,Indiana,8.7,2,0.0000001,15,8,0.461
Soil,Indiana,8.7,3,0.0000001,11,3,0.461
Soil,Indiana,5,1,0.0000001,25,7,0.511
Soil,Indiana,5,2,0.0000001,30,8,0.511
Soil,Indiana,5,3,0.0000001,27,6,0.511
Soil,Indiana,5,4,0.0000001,15,6,0.511
