"2016-05-03 at 12:10"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
12:10:27 -4.31 50.47 98.70
12:10:28 -4.36 50.47 98.70
12:10:29 -4.42 50.47 98.70
12:10:30 -4.82 50.47 98.70
12:10:31 -4.32 50.47 98.70
12:10:32 -4.80 50.47 98.70
12:10:33 -4.64 50.47 98.70
12:10:34 -4.34 50.47 98.70
12:10:35 -4.56 50.47 98.70
12:10:36 -4.34 50.47 98.70
12:10:37 -4.30 50.47 98.70
12:10:38 -4.84 50.47 98.70
12:10:39 -4.10 50.47 98.70
12:10:40 -4.84 50.47 98.70
12:10:41 -4.31 50.47 98.70
12:10:42 -4.12 50.47 98.70
12:10:43 -4.08 50.47 98.70
12:10:44 -4.49 50.47 98.70
12:10:45 -4.67 50.47 98.70
12:10:46 -4.70 50.47 98.70
12:10:47 -4.50 50.47 98.70
12:10:48 -4.38 50.47 98.70
12:10:49 -4.69 50.47 98.70
12:10:50 -4.53 50.47 98.70
12:10:51 -4.35 50.47 98.70
12:10:52 -4.46 50.47 98.70
12:10:53 -4.69 50.47 98.70
12:10:54 -4.53 50.47 98.70
12:10:55 -4.56 50.47 98.70
12:10:56 -4.37 50.47 98.70
12:10:57 -4.35 50.47 98.70
12:10:58 -4.57 50.47 98.70
12:10:59 -4.18 50.47 98.70
12:11:00 -4.68 50.47 98.70
12:11:01 -4.49 50.47 98.70
12:11:02 -4.36 50.47 98.70
12:11:03 -4.29 50.47 98.70
12:11:04 -2.32 50.47 98.70
12:11:05 6.08 50.47 98.70
12:11:06 28.52 50.47 98.68
12:11:07 73.39 50.47 98.68
12:11:08 130.22 50.47 98.70
12:11:09 183.12 50.47 98.70
12:11:10 210.95 50.47 98.70
12:11:11 207.48 50.47 98.68
12:11:12 181.18 50.47 98.68
12:11:13 143.70 50.47 98.70
12:11:14 107.04 50.47 98.68
12:11:15 74.95 50.47 98.68
12:11:16 62.24 50.47 98.68
12:11:17 42.14 50.47 98.68
12:11:18 27.94 50.47 98.68
12:11:19 18.88 50.47 98.68
12:11:20 12.39 50.47 98.70
12:11:21 8.02 50.47 98.70
12:11:22 5.43 50.47 98.70
12:11:23 3.03 50.47 98.70
12:11:24 1.41 50.47 98.70
12:11:25 0.16 50.47 98.70
12:11:26 -0.49 50.47 98.70
12:11:27 -1.02 50.47 98.70
12:11:28 -2.00 50.47 98.70
12:11:29 -2.02 50.47 98.70
12:11:30 -2.95 50.47 98.70
12:11:31 -2.81 50.47 98.70
12:11:32 -3.16 50.47 98.70
12:11:33 -3.22 50.47 98.70
12:11:34 -3.69 50.47 98.70
12:11:35 -3.41 50.47 98.70
12:11:36 -3.14 50.47 98.70
12:11:37 -3.88 50.47 98.70
12:11:38 -3.86 50.47 98.70
12:11:39 -4.36 50.47 98.70
12:11:40 -3.95 50.47 98.70
12:11:41 -3.89 50.47 98.70
12:11:42 -4.26 50.47 98.70
12:11:43 -4.07 50.47 98.68
12:11:44 -4.02 50.47 98.68
12:11:45 -4.58 50.47 98.70
12:11:46 -3.94 50.47 98.70
12:11:47 -2.68 50.47 98.70
12:11:48 3.72 50.47 98.70
12:11:49 19.60 50.47 98.70
12:11:50 46.85 50.47 98.70
12:11:51 79.09 50.47 98.70
12:11:52 106.01 50.47 98.70
12:11:53 118.63 50.47 98.70
12:11:54 112.08 50.47 98.70
12:11:55 90.52 50.47 98.70
12:11:56 65.50 50.47 98.70
12:11:57 44.91 50.47 98.70
12:11:58 29.12 50.47 98.70
12:11:59 23.38 50.47 98.70
12:12:00 14.83 50.47 98.70
12:12:01 9.27 50.47 98.70
12:12:02 5.63 50.47 98.70
12:12:03 3.47 50.47 98.70
12:12:04 1.95 50.47 98.70
12:12:05 0.66 50.47 98.70
12:12:06 0.14 50.47 98.70
12:12:07 -1.06 50.47 98.70
12:12:08 -1.45 50.47 98.70
12:12:09 -2.14 50.47 98.70
12:12:10 -2.25 50.47 98.70
12:12:11 -2.28 50.47 98.70
12:12:12 -3.21 50.47 98.70
12:12:13 -3.06 50.47 98.70
12:12:14 -3.54 50.47 98.70
12:12:15 -3.78 50.47 98.70
12:12:16 -3.45 50.47 98.70
12:12:17 -3.67 50.47 98.70
12:12:18 -3.89 50.47 98.70
12:12:19 -3.69 50.47 98.70
12:12:20 -3.73 50.47 98.70
12:12:21 -3.89 50.47 98.70
12:12:22 -4.15 50.47 98.70
12:12:23 -3.81 50.47 98.70
12:12:24 -3.75 50.47 98.70
12:12:25 -1.23 50.47 98.70
12:12:26 5.49 50.47 98.70
12:12:27 19.94 50.47 98.70
12:12:28 40.60 50.47 98.70
12:12:29 61.51 50.47 98.70
12:12:30 76.07 50.47 98.70
12:12:31 75.54 50.47 98.70
12:12:32 62.97 50.47 98.70
12:12:33 47.14 50.47 98.70
12:12:34 32.03 50.47 98.70
12:12:35 20.26 50.47 98.70
12:12:36 12.39 50.47 98.70
12:12:37 7.19 50.47 98.70
12:12:38 3.35 50.47 98.70
12:12:39 2.21 50.47 98.70
12:12:40 0.65 50.47 98.70
12:12:41 -0.40 50.47 98.70
12:12:42 -0.94 50.47 98.70
12:12:43 -1.72 50.47 98.70
12:12:44 -1.84 50.47 98.70
