"2016-05-17 at 12:23"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
12:23:11 -4.36 50.47 98.71
12:23:12 -4.21 50.47 98.70
12:23:13 -4.44 50.47 98.70
12:23:14 -4.13 50.47 98.71
12:23:15 -4.39 50.47 98.71
12:23:16 -3.87 50.47 98.71
12:23:17 -3.81 50.47 98.71
12:23:18 -4.25 50.47 98.71
12:23:19 -4.09 50.47 98.70
12:23:20 -4.41 50.47 98.70
12:23:21 -4.08 50.47 98.70
12:23:22 -4.33 50.47 98.70
12:23:23 -4.26 50.47 98.70
12:23:24 -4.07 50.47 98.70
12:23:25 -4.28 50.47 98.70
12:23:26 -4.05 50.47 98.70
12:23:27 -4.07 50.47 98.70
12:23:28 -4.40 50.47 98.70
12:23:29 -4.16 50.47 98.70
12:23:30 -4.01 50.47 98.71
12:23:31 -4.22 50.47 98.71
12:23:32 -4.08 50.47 98.71
12:23:33 -4.27 50.47 98.71
12:23:34 -3.72 50.47 98.71
12:23:35 -4.40 50.47 98.71
12:23:36 -4.21 50.47 98.71
12:23:37 -3.71 50.47 98.71
12:23:38 -4.46 50.47 98.71
12:23:39 -4.52 50.47 98.71
12:23:40 -3.97 50.47 98.71
12:23:41 -4.17 50.47 98.71
12:23:42 -3.79 50.47 98.70
12:23:43 -4.39 50.47 98.70
12:23:44 -4.17 50.47 98.70
12:23:45 -4.26 50.47 98.70
12:23:46 -4.16 50.47 98.70
12:23:47 -3.92 50.47 98.70
12:23:48 -1.24 50.47 98.70
12:23:49 7.83 50.47 98.70
12:23:50 34.09 50.47 98.70
12:23:51 80.47 50.47 98.70
12:23:52 138.90 50.47 98.70
12:23:53 190.43 50.47 98.70
12:23:54 215.48 50.47 98.70
12:23:55 209.71 50.47 98.70
12:23:56 181.00 50.47 98.70
12:23:57 142.76 50.47 98.71
12:23:58 103.08 50.47 98.70
12:23:59 66.47 50.47 98.70
12:24:00 41.29 50.47 98.70
12:24:01 32.20 50.47 98.70
12:24:02 19.81 50.47 98.70
12:24:03 11.14 50.47 98.70
12:24:04 6.42 50.47 98.70
12:24:05 3.41 50.47 98.70
12:24:06 1.26 50.47 98.70
12:24:07 -0.34 50.47 98.71
12:24:08 -1.29 50.47 98.71
12:24:09 -1.80 50.47 98.70
12:24:10 -2.85 50.47 98.70
12:24:11 -3.08 50.47 98.71
12:24:12 -3.43 50.47 98.71
12:24:13 -3.92 50.47 98.71
12:24:14 -3.67 50.47 98.71
12:24:15 -3.55 50.47 98.71
12:24:16 -3.89 50.47 98.71
12:24:17 -3.94 50.47 98.70
12:24:18 -3.81 50.47 98.70
12:24:19 -3.92 50.47 98.70
12:24:20 -4.08 50.47 98.70
12:24:21 -3.51 50.47 98.70
12:24:22 -3.01 50.47 98.70
12:24:23 1.44 50.47 98.70
12:24:24 14.10 50.47 98.70
12:24:25 40.47 50.47 98.70
12:24:26 77.37 50.47 98.70
12:24:27 113.55 50.47 98.70
12:24:28 135.15 50.47 98.70
12:24:29 136.32 50.47 98.70
12:24:30 121.44 50.47 98.70
12:24:31 97.52 50.47 98.70
12:24:32 72.03 50.47 98.70
12:24:33 47.12 50.47 98.70
12:24:34 29.81 50.47 98.71
12:24:35 17.71 50.47 98.70
12:24:36 10.64 50.47 98.70
12:24:37 6.27 50.47 98.71
12:24:38 3.45 50.47 98.71
12:24:39 1.72 50.47 98.70
12:24:40 0.23 50.47 98.70
12:24:41 -1.04 50.47 98.70
12:24:42 -1.25 50.47 98.70
12:24:43 -2.15 50.47 98.70
12:24:44 -2.35 50.47 98.71
12:24:45 -2.59 50.47 98.70
12:24:46 -2.75 50.47 98.70
12:24:47 -3.20 50.47 98.71
12:24:48 -3.64 50.47 98.71
12:24:49 -3.37 50.47 98.70
12:24:50 -3.30 50.47 98.70
12:24:51 -3.72 50.47 98.70
12:24:52 -3.51 50.47 98.70
12:24:53 -3.78 50.47 98.70
12:24:54 -3.72 50.47 98.70
12:24:55 -3.61 50.47 98.70
12:24:56 -3.74 50.47 98.70
12:24:57 -2.58 50.47 98.70
12:24:58 3.08 50.47 98.70
12:24:59 15.88 50.47 98.70
12:25:00 37.40 50.47 98.70
12:25:01 62.87 50.47 98.70
12:25:02 83.74 50.47 98.70
12:25:03 92.53 50.47 98.70
12:25:04 87.75 50.47 98.70
12:25:05 73.15 50.47 98.70
12:25:06 64.73 50.47 98.70
12:25:07 47.62 50.47 98.70
12:25:08 32.97 50.47 98.70
12:25:09 20.31 50.47 98.70
12:25:10 11.21 50.47 98.70
12:25:11 5.32 50.47 98.70
12:25:12 2.69 50.47 98.70
12:25:13 0.60 50.47 98.70
12:25:14 -0.82 50.47 98.70
12:25:15 -1.65 50.47 98.70
12:25:16 -2.10 50.47 98.70
12:25:17 -3.01 50.47 98.70
12:25:18 -2.96 50.47 98.70
12:25:19 -3.24 50.47 98.70
12:25:20 -3.61 50.47 98.70
12:25:21 -3.11 50.47 98.70
12:25:22 -3.95 50.47 98.71
12:25:23 -3.71 50.47 98.71
12:25:24 -3.53 50.47 98.71
12:25:25 -3.71 50.47 98.71
12:25:26 -4.23 50.47 98.70
12:25:27 -3.93 50.47 98.70
12:25:28 -3.75 50.47 98.70
12:25:29 -3.98 50.47 98.70
12:25:30 -3.77 50.47 98.70
12:25:31 -4.20 50.47 98.70
12:25:32 -3.92 50.47 98.70
12:25:33 -3.68 50.47 98.70
12:25:34 -0.34 50.47 98.70
12:25:35 5.95 50.47 98.70
12:25:36 17.49 50.47 98.70
12:25:37 30.00 50.47 98.70
12:25:38 40.16 50.47 98.70
12:25:39 43.65 50.47 98.70
12:25:40 41.69 50.47 98.70
12:25:41 33.74 50.47 98.70
12:25:42 23.91 50.47 98.70
12:25:43 15.70 50.47 98.70
12:25:44 9.23 50.47 98.70
12:25:45 4.65 50.47 98.70
12:25:46 2.22 50.47 98.70
12:25:47 0.40 50.47 98.70
12:25:48 -1.28 50.47 98.70
12:25:49 -1.41 50.47 98.70
12:25:50 -1.71 50.47 98.70
12:25:51 -2.19 50.47 98.70
12:25:52 -2.75 50.47 98.70
12:25:53 -2.97 50.47 98.70
12:25:54 -3.05 50.47 98.70
12:25:55 -3.27 50.47 98.70
12:25:56 -3.25 50.47 98.70
12:25:57 -3.96 50.47 98.70
12:25:58 -3.65 50.47 98.70
12:25:59 -3.60 50.47 98.70
12:26:00 -3.48 50.47 98.70
12:26:01 -3.61 50.47 98.70
12:26:02 -3.63 50.47 98.70
12:26:03 -4.00 50.47 98.70
12:26:04 -4.05 50.47 98.70
12:26:05 -4.09 50.47 98.70
12:26:06 -3.82 50.47 98.70
12:26:07 -3.37 50.47 98.70
12:26:08 -0.89 50.47 98.70
12:26:09 3.98 50.47 98.70
12:26:10 10.93 50.47 98.70
12:26:11 14.63 50.47 98.70
12:26:12 19.19 50.47 98.70
12:26:13 20.16 50.47 98.70
12:26:14 17.66 50.47 98.70
12:26:15 12.72 50.47 98.70
12:26:16 8.60 50.47 98.70
12:26:17 4.64 50.47 98.70
12:26:18 2.08 50.47 98.70
12:26:19 0.07 50.47 98.70
12:26:20 -1.64 50.47 98.70
12:26:21 -1.98 50.47 98.70
12:26:22 -2.56 50.47 98.70
12:26:23 -3.36 50.47 98.70
12:26:24 -3.44 50.47 98.70
12:26:25 -3.46 50.47 98.70
12:26:26 -3.70 50.47 98.70
12:26:27 -3.92 50.47 98.70
12:26:28 -3.78 50.47 98.70
12:26:29 -3.64 50.47 98.70
12:26:30 -3.90 50.47 98.70
12:26:31 -3.96 50.47 98.70
12:26:32 -4.01 50.47 98.70
12:26:33 -4.14 50.47 98.70
12:26:34 -4.28 50.47 98.70
12:26:35 -4.02 50.47 98.70
12:26:36 -4.33 50.47 98.71
12:26:37 -4.35 50.47 98.70
12:26:38 -3.91 50.47 98.70
12:26:39 -3.84 50.47 98.71
12:26:40 -4.39 50.47 98.71
12:26:41 -3.78 50.47 98.70
12:26:42 -4.32 50.47 98.70
12:26:43 -4.58 50.47 98.70
12:26:44 -4.04 50.47 98.70
12:26:45 -3.86 50.47 98.70
12:26:46 -3.59 50.47 98.70
12:26:47 -2.32 50.47 98.70
12:26:48 0.82 50.47 98.70
12:26:49 4.35 50.47 98.70
12:26:50 7.38 50.47 98.70
12:26:51 9.52 50.47 98.70
12:26:52 9.31 50.47 98.70
12:26:53 7.46 50.47 98.70
12:26:54 6.66 50.47 98.70
12:26:55 3.65 50.47 98.70
12:26:56 1.25 50.47 98.70
12:26:57 -0.02 50.47 98.70
12:26:58 -1.57 50.47 98.70
12:26:59 -2.68 50.47 98.70
12:27:00 -2.86 50.47 98.70
12:27:01 -3.77 50.47 98.70
12:27:02 -3.94 50.47 98.70
12:27:03 -3.70 50.47 98.70
12:27:04 -3.76 50.47 98.70
12:27:05 -4.04 50.47 98.70
12:27:06 -3.95 50.47 98.70
12:27:07 -4.07 50.47 98.70
12:27:08 -4.17 50.47 98.70
12:27:09 -4.00 50.47 98.70
12:27:10 -3.97 50.47 98.70
12:27:11 -4.10 50.47 98.70
12:27:12 -4.27 50.47 98.70
